entrezgene,FDRPval_m1m2,FDRPval_m2m2a,FDRPval_m7m8,FDRPval_m8m8a,FDRPval_busted
NA,1,1,2.99306206810608e-8,0.406671336790735,0.9529649590963509
NA,1,1,2.26664943660386e-6,0.0553489083572654,0.8385351099558381
422616,1,1,3.42910231814299e-5,0.236379259011783,1
422026,1,1,0,0,0
100857939,0.153691959771836,0.0415218666902907,4.26649461043325e-8,3.17739519842107e-4,0.04046839420923527
426168,0,0,0,0,0
NA,1,1,0.00201056867618538,0.283670496623131,0.007027567445907423
374177,1,1,1,0.795513513887446,0.06391530018931545
427538,0,0,0,0,0
100858288,1,1,1.02832653749569e-5,4.22337236260832e-5,1
100859120,1,1,0.0246192951618691,1,0
419240,1,1,1,0.607138156205465,0.0032206796321867757
427584,0.155920378653556,0.0422013169450121,0,8.88365682275153e-4,0
416696,1,1,1,1,0
396470,1,1,3.81277193206495e-4,0.520612038934352,1
418148,1,1,0.828622620934708,1,0
421838,1,1,0.447135118603231,0.747468688133575,0.8578613064327644
422506,1,1,0,8.36802849235596e-14,0
429033,1,1,0,1,0
NA,1,1,1,1,0.3127238146434441
422699,1,1,2.70408793028709e-13,0.234871240394902,4.808691226120138e-13
395512,1,1,1,1,0
100857565,1,1,1,1,1
NA,1.33874348742849e-4,2.17204039976004e-5,2.76817248601106e-15,3.22197988453952e-11,0
100858068,1,1,0.00564116445529627,0.848571480471458,1
417764,0,0,0,0,2.1934039707171682e-10
427942,0,0,0,0,0
772006,1,1,0.00351075261800431,0.513178167071797,1
101749340,1,1,7.08687025718735e-12,0.572730092933818,0
101749322,1,1,1.12412197024594e-4,0.407431587832991,1.7549202151917907e-7
423644,1,1,0.459615885565595,0.0941259064635633,7.608824377737154e-4
NA,0,0,0,0,0
101751815,1,1,0.732670362530593,0.878738421118639,3.480551121505126e-6
101750018,1,1,7.18323240040847e-16,1,5.347526477298218e-4
430477,1,1,0.079073013522729,0.304195071734182,0
426548,1,1,0.396937250260542,0.234331296850932,1.1092079030207445e-7
