entrezgene,ensembl_gene_id,external_gene_name
807636,ENSGALG00000042750,ND1
807645,ENSGALG00000043768,ND2
807639,ENSGALG00000032142,COX1
807635,ENSGALG00000032456,COII
807647,ENSGALG00000032465,NA
807646,ENSGALG00000041091,ATP6
807637,ENSGALG00000035334,COX3
807638,ENSGALG00000030436,ND3
807644,ENSGALG00000042478,ND4L
807643,ENSGALG00000036229,ND4
807642,ENSGALG00000029500,ND5
807641,ENSGALG00000032079,CYTB
807640,ENSGALG00000037838,ND6
419704,ENSGALG00000035842,SLC37A2
107049952,ENSGALG00000032765,NA
770867,ENSGALG00000023834,
107049471,ENSGALG00000030015,NA
769879,ENSGALG00000040619,BAAT
426663,ENSGALG00000033957,SPATS2
419140,ENSGALG00000033993,EIF6
419907,ENSGALG00000002870,LEMD2
100857976,ENSGALG00000046048,S1PR2
395937,ENSGALG00000002550,TSHB
107051017,ENSGALG00000038359,
419856,ENSGALG00000001177,
419909,ENSGALG00000002881,C26H6ORF125
419857,ENSGALG00000001264,PLXNA2
416998,ENSGALG00000007698,
107055522,ENSGALG00000033672,
107057538,ENSGALG00000037252,NA
107057619,ENSGALG00000032854,ACP5
426247,ENSGALG00000029624,DHRS4
107056542,ENSGALG00000035763,NA
422920,ENSGALG00000015815,RMND5A
404777,ENSGALG00000036642,RAD9A
101749042,ENSGALG00000006899,
419726,ENSGALG00000024296,NA
101748212,ENSGALG00000039571,PRPH
421171,ENSGALG00000035499,NA
107049036,ENSGALG00000036392,NA
417293,ENSGALG00000038789,CLIC3
396023,ENSGALG00000005551,DKK3
419927,ENSGALG00000003467,BYSL
374197,ENSGALG00000012159,ACTR3
419712,ENSGALG00000046347,FOXRED1
768550,ENSGALG00000001054,C20H20ORF24
422683,ENSGALG00000011998,SEC24D
422408,ENSGALG00000009361,GUCY1B1
422871,ENSGALG00000015594,TRMT44
100858490,ENSGALG00000043111,NA
100858017,ENSGALG00000046161,NA
396232,ENSGALG00000009071,HMGB3
100858774,ENSGALG00000029658,
419713,ENSGALG00000030759,SRPRA
107049835,ENSGALG00000032049,
100858655,ENSGALG00000030351,ILF3
422484,ENSGALG00000041054,FHDC1
396401,ENSGALG00000033116,CLC2DL3
425783,ENSGALG00000033116,CLC2DL3
772196,ENSGALG00000020260,PGRMC1
107049985,ENSGALG00000032798,
107049986,ENSGALG00000032798,
107049318,ENSGALG00000032517,
416398,ENSGALG00000031416,UBN1
402783,ENSGALG00000028967,DNAJC27
374101,ENSGALG00000043433,SCX
107055209,ENSGALG00000037995,STRIP1
424486,ENSGALG00000005610,SLC44A3
107049807,ENSGALG00000044432,NA
416776,ENSGALG00000001616,CDC45
107053618,ENSGALG00000002303,LRIT1
423279,ENSGALG00000009565,EIF2S1
422454,ENSGALG00000009880,INPP4B
426274,ENSGALG00000017485,TLR1A
419149,ENSGALG00000002083,
374153,ENSGALG00000011875,TRPC3
420418,ENSGALG00000005826,DLEC1
419730,ENSGALG00000001306,NFRKB
395863,ENSGALG00000010402,HPGDS
421827,ENSGALG00000015812,SMIM8
419776,ENSGALG00000021272,SCN2B
770454,ENSGALG00000007406,TMPRSS4
423073,ENSGALG00000006192,USH1C
107055940,ENSGALG00000035779,NA
416752,ENSGALG00000009205,NA
396090,ENSGALG00000006613,CTSD
421937,ENSGALG00000016444,ODC1
107050032,ENSGALG00000032574,NA
395437,ENSGALG00000012623,CFC1
421269,ENSGALG00000027922,ETAA1
101749614,ENSGALG00000044474,
422336,ENSGALG00000007952,AMOT
428898,ENSGALG00000010485,ALKBH1
770386,ENSGALG00000010886,PAQR3
396484,ENSGALG00000015013,MSX1
107056837,ENSGALG00000033097,
107049850,ENSGALG00000039421,NA
419780,ENSGALG00000007438,
423023,ENSGALG00000038541,VPS37C
420419,ENSGALG00000005884,NA
422719,ENSGALG00000013427,SORBS2
417160,ENSGALG00000038413,SURF6
427437,ENSGALG00000003547,SKP2
422822,ENSGALG00000014425,NCAPG
770514,ENSGALG00000038654,
419222,ENSGALG00000005102,CDH4
770326,ENSGALG00000009573,ANXA10
419143,ENSGALG00000034509,
107054816,ENSGALG00000034509,
420665,ENSGALG00000011484,CMTM8
101747800,ENSGALG00000045161,NA
421315,ENSGALG00000009219,C3H1orf95
107050147,ENSGALG00000036853,
423463,ENSGALG00000033212,HSP90AA1
422539,ENSGALG00000010582,PPA2
107053203,ENSGALG00000009432,C4orf46
423871,ENSGALG00000008179,NT5C2
420554,ENSGALG00000009410,PEX1
107053341,ENSGALG00000036530,
423417,ENSGALG00000010806,RIN3
395560,ENSGALG00000007140,NRP1
107057377,ENSGALG00000033266,
100858751,ENSGALG00000045115,
426844,ENSGALG00000042000,C18orf32
417173,ENSGALG00000003712,RAPGEF1
425449,ENSGALG00000037731,NA
554220,ENSGALG00000026744,OTP
772357,ENSGALG00000042210,RABEPK
421466,ENSGALG00000025822,CYP1B1
427193,ENSGALG00000014863,TMEM267
420465,ENSGALG00000007065,GJD4
395254,ENSGALG00000016500,FKBP1B
420556,ENSGALG00000009473,EFCAB1
395620,ENSGALG00000039772,RGS7
428240,ENSGALG00000006673,POU2F3
100858042,ENSGALG00000007374,YPEL4
422979,ENSGALG00000004044,CSRP3
395069,ENSGALG00000033420,NA
421168,ENSGALG00000038948,KDM5B
421816,ENSGALG00000015779,PM20D2
419159,ENSGALG00000003409,SOGA1
771980,ENSGALG00000003789,FAM78A
422903,ENSGALG00000037699,UVSSA
770342,ENSGALG00000016495,KLHL29
422060,ENSGALG00000033033,MEP1A
422625,ENSGALG00000024482,
423255,ENSGALG00000009381,SIPA1L1
419861,ENSGALG00000001369,
395159,ENSGALG00000010722,NA
428420,ENSGALG00000008591,CACNB2
423014,ENSGALG00000042105,PLCB2
416830,ENSGALG00000003645,PITPNM2
417258,ENSGALG00000008625,ANAPC2
423460,ENSGALG00000029996,PPP2R5C
423642,ENSGALG00000002705,CISD1
107049127,ENSGALG00000028598,
421886,ENSGALG00000016294,HMGCLL1
693249,ENSGALG00000041685,CAPN1
770043,ENSGALG00000027785,
422064,ENSGALG00000016726,PTCHD4
420370,ENSGALG00000044098,
693263,ENSGALG00000029971,PGLYRP2
421833,ENSGALG00000015833,
395394,ENSGALG00000028376,FGF19
420261,ENSGALG00000045617,BAALC
422792,ENSGALG00000041993,UGDH
423124,ENSGALG00000007217,BEST1
395735,ENSGALG00000016254,OTC
396204,ENSGALG00000038364,NOV
419862,ENSGALG00000001373,TRAF3IP3
427955,ENSGALG00000015089,GAP43
421921,ENSGALG00000028982,CMPK2
424706,ENSGALG00000011229,SERBP1
419760,ENSGALG00000007017,RBM7
396223,ENSGALG00000014692,LMNB1
100859742,ENSGALG00000035599,NA
419831,ENSGALG00000000695,MFSD4A
418647,ENSGALG00000006633,TMEM243
421375,ENSGALG00000009848,LPGAT1
425119,ENSGALG00000014152,KMT5B
427350,ENSGALG00000010178,PUM3
107056599,ENSGALG00000034517,
428516,ENSGALG00000035569,MC2R
425985,ENSGALG00000037342,
419046,ENSGALG00000017296,KLHL42
378798,ENSGALG00000016636,ARSH
107057099,ENSGALG00000042295,
421371,ENSGALG00000009822,TMEM206
428801,ENSGALG00000037457,FOXI3
420747,ENSGALG00000035453,RP9
416757,ENSGALG00000009297,TELO2
107053469,ENSGALG00000044624,NA
373949,ENSGALG00000001611,B3GAT1
421484,ENSGALG00000010630,AHCTF1
417705,ENSGALG00000008050,HBP1
395194,ENSGALG00000002548,TLN1
100859215,ENSGALG00000041832,NA
107052761,ENSGALG00000035901,GDF6
426340,ENSGALG00000014428,TAPBPL
423242,ENSGALG00000009249,UBR1
396157,ENSGALG00000012594,NTRK2
419866,ENSGALG00000001452,ATP5PB
422320,ENSGALG00000007703,NA
417849,ENSGALG00000010029,BEST3
100858912,ENSGALG00000013207,CTNNAL1
374006,ENSGALG00000016348,SAT1
426544,ENSGALG00000014453,FAM46C
420249,ENSGALG00000033254,SPAG1
107055907,ENSGALG00000046257,
417032,ENSGALG00000008337,SLC8B1
423411,ENSGALG00000010734,PPP4R3A
426076,ENSGALG00000003674,DHTKD1
107050501,ENSGALG00000033168,
396362,ENSGALG00000013168,IAPP
396102,ENSGALG00000010692,LRP8
419863,ENSGALG00000001405,IRF6
404302,ENSGALG00000041103,SLC18A3
374188,ENSGALG00000009073,PSEN2
423518,ENSGALG00000011889,PRKCH
423019,ENSGALG00000037195,TALDO1
100861562,ENSGALG00000041326,NA
428360,ENSGALG00000031863,MCMDC2
418387,ENSGALG00000015285,TOMM70
423450,ENSGALG00000011162,CYP46A1
396158,ENSGALG00000033304,MYBL1
107049167,ENSGALG00000035331,
396207,ENSGALG00000041630,NFIX
770453,ENSGALG00000013063,SRD5A1
417962,ENSGALG00000011799,NA
421318,ENSGALG00000009253,SDE2
420302,ENSGALG00000045875,PSCA
427206,ENSGALG00000014942,NSA2
421395,ENSGALG00000009925,MTA3
427311,ENSGALG00000046038,
102465347,ENSGALG00000026117,NA
770483,ENSGALG00000026001,C9orf85
426045,ENSGALG00000040006,TBL1X
100315724,ENSGALG00000025515,NA
428383,ENSGALG00000043760,NA
427847,ENSGALG00000008115,ATXN7L1
100315818,ENSGALG00000025323,NA
424320,ENSGALG00000012538,NR4A2
777805,ENSGALG00000032423,NA
395479,ENSGALG00000002588,PPARD
422188,ENSGALG00000004948,GLA
423508,ENSGALG00000011797,MTHFD1
427280,ENSGALG00000026811,
101750303,ENSGALG00000045646,NA
102465349,ENSGALG00000026261,NA
430563,ENSGALG00000038219,
421460,ENSGALG00000010435,RASGRP3
777826,ENSGALG00000032003,NA
373997,ENSGALG00000035836,LDHB
416746,ENSGALG00000009158,CDC42BPA
416870,ENSGALG00000041861,TCTN1
418366,ENSGALG00000015190,GTPBP8
431244,ENSGALG00000036175,CAPG
100315930,ENSGALG00000028725,NA
101751597,ENSGALG00000031570,WDR54
102465416,ENSGALG00000025785,NA
421604,ENSGALG00000012136,MPPED2
425900,ENSGALG00000008399,ANKRD12
420487,ENSGALG00000007507,MASTL
100315706,ENSGALG00000025509,NA
396028,ENSGALG00000011206,KITLG
101748342,ENSGALG00000040836,FAM196A
100315704,ENSGALG00000025161,NA
417261,ENSGALG00000008746,MRPL41
417859,ENSGALG00000010208,CAPS2
100315946,ENSGALG00000021786,NA
100857638,ENSGALG00000044731,NA
107056775,ENSGALG00000036161,
107056266,ENSGALG00000036177,NA
100857683,ENSGALG00000038143,
107057577,ENSGALG00000040341,NA
395830,ENSGALG00000009689,PON2
100316002,ENSGALG00000024497,NA
396019,ENSGALG00000010026,PPP1CB
427076,ENSGALG00000002282,TMEM200A
422461,ENSGALG00000028643,ANAPC10
107057536,ENSGALG00000034753,NA
777880,ENSGALG00000018339,NA
100315917,ENSGALG00000040979,NA
769997,ENSGALG00000009496,NAF1
425237,ENSGALG00000035696,RRP1B
100315768,ENSGALG00000025285,NA
768538,ENSGALG00000009037,SPTLC3
428731,ENSGALG00000009758,SLC7A11
417199,ENSGALG00000026007,DOLK
777869,ENSGALG00000018310,NA
100858067,ENSGALG00000040681,KCNA6
426446,ENSGALG00000031860,ADHFE1
395116,ENSGALG00000000441,KCNA10
776018,ENSGALG00000027875,NA
