species,sex,subfamily,habitat,foraging_stratum,avg_span,volume,avg_brill,avg_chroma,avg_sex_dich
Acanthidops_bairdii,Female,Diglossinae,F,U,0.03218935,2.06e-6,0.11575634,0.107773578,0.028
Acanthidops_bairdii,Male,Diglossinae,F,U,0.023055018,8.72e-7,0.098985734,0.081071856,0.028
Anisognathus_igniventris,Female,Thraupinae,F,U/C,0.239786522,3.69915e-4,0.13327856,0.177266597,0.037
Anisognathus_igniventris,Male,Thraupinae,F,U/C,0.262820836,5.00802e-4,0.134133868,0.208333415,0.037
Anisognathus_lacrymosus,Female,Thraupinae,F,C,0.190603125,1.48221e-4,0.17410209200000001,0.147892737,0.02
Anisognathus_lacrymosus,Male,Thraupinae,F,C,0.205268635,2.1432e-4,0.160788421,0.149416561,0.02
Anisognathus_melanogenys,Female,Thraupinae,F,U/C,0.192707579,3.60606e-4,0.151978924,0.140759541,0.025
Anisognathus_melanogenys,Male,Thraupinae,F,U/C,0.182226354,1.81956e-4,0.13997831,0.137902088,0.025
Anisognathus_notabilis,Female,Thraupinae,F,C,0.260959865,0.001403226,0.15253432,0.188098923,0.028
Anisognathus_notabilis,Male,Thraupinae,F,C,0.242888493,9.66096e-4,0.169354398,0.176337675,0.028
Anisognathus_somptuosus,Female,Thraupinae,-,-,0.255939293,7.26834e-4,0.149788908,0.174976827,0.064
Anisognathus_somptuosus,Male,Thraupinae,-,-,0.253912257,0.001327843,0.246721775,0.186067913,0.064
Bangsia_arcaei,Female,Thraupinae,F,C,0.161303921,5.67e-5,0.155647431,0.111201503,0.026
Bangsia_arcaei,Male,Thraupinae,F,C,0.176343938,1.62533e-4,0.15449835,0.121188656,0.026
Bangsia_aureocincta,Female,Thraupinae,F,C,0.09123654,8.21e-5,0.120731926,0.147456906,0.051
Bangsia_aureocincta,Male,Thraupinae,F,C,0.136664665,1.47832e-4,0.130442511,0.138114875,0.051
Bangsia_edwardsi,Female,Thraupinae,F,C,0.095115951,6e-5,0.099864764,0.104310498,0.033
Bangsia_edwardsi,Male,Thraupinae,F,C,0.120178289,1.87703e-4,0.093107819,0.100945409,0.033
Bangsia_melanochlamys,Female,Thraupinae,F,C,0.166365808,1.58243e-4,0.12524498,0.119732597,0.019
Bangsia_melanochlamys,Male,Thraupinae,F,C,0.181251421,1.9335e-4,0.116325046,0.114444448,0.019
Bangsia_rothschildi,Female,Thraupinae,F,C,0.133326058,1.20061e-4,0.102535646,0.075316063,0.024
Bangsia_rothschildi,Male,Thraupinae,F,C,0.133701608,7.82e-5,0.103650481,0.078004518,0.024
Cnemathraupis_aureodorsalis,Female,Thraupinae,F,C,0.245441863,4.26887e-4,0.119897958,0.180329127,0.017
Cnemathraupis_aureodorsalis,Male,Thraupinae,F,C,0.22503283600000001,3.827e-4,0.120359646,0.181694878,0.017
Cnemathraupis_eximia,Female,Thraupinae,F,C,0.187682566,9.10752e-4,0.120199182,0.136660464,0.017
Cnemathraupis_eximia,Male,Thraupinae,F,C,0.204948761,0.001545105,0.119782175,0.146781581,0.017
Buthraupis_montana,Female,Thraupinae,F,C,0.170154451,1.50446e-4,0.142554899,0.106934218,0.019
Buthraupis_montana,Male,Thraupinae,F,C,0.1764976,1.21841e-4,0.150836338,0.118093829,0.019
Buthraupis_wetmorei,Female,Thraupinae,F,C,0.162130557,1.81328e-4,0.123958531,0.153852663,0.043
Buthraupis_wetmorei,Male,Thraupinae,F,C,0.162034036,1.43532e-4,0.119095333,0.114935638,0.043
Calochaetes_coccineus,Female,Thraupinae,F,C,0.161302753,4.54e-5,0.130171364,0.228831795,0.043
Calochaetes_coccineus,Male,Thraupinae,F,C,0.209995259,7.74e-5,0.131577647,0.247801987,0.043
Camarhynchus_heliobates,Female,Coerebinae,F,C,0.026385789,4.97e-7,0.143631757,0.116295018,0.009
Camarhynchus_heliobates,Male,Coerebinae,F,C,0.033122242,1.05e-6,0.140199835,0.111055302,0.009
Camarhynchus_pallidus,Female,Coerebinae,N,N,0.030188676,6.83e-7,0.19761657,0.124054961,0.012
Camarhynchus_pallidus,Male,Coerebinae,N,N,0.031027992,2.57e-6,0.206227902,0.122177058,0.012
Camarhynchus_parvulus,Female,Coerebinae,F,U/C,0.02642177,1.34e-6,0.1729572,0.115445289,0.021
Camarhynchus_parvulus,Male,Coerebinae,F,U/C,0.038184168,1.98e-6,0.138964519,0.097452158,0.021
Camarhynchus_pauper,Female,Coerebinae,F,U/C,0.038594008,2.4e-6,0.144305223,0.123790871,0.017
Camarhynchus_pauper,Male,Coerebinae,F,U/C,0.026712995,1.9e-6,0.13316839,0.110616626,0.017
Camarhynchus_psittacula,Female,Coerebinae,F,U/C,0.032501768,2.68e-6,0.180860569,0.111357047,0.024
Camarhynchus_psittacula,Male,Coerebinae,F,U/C,0.034943776,1.59e-6,0.136146768,0.093087612,0.024
Catamenia_analis,Female,Diglossinae,N,N,0.061611848,7.74e-6,0.16486265,0.118947098,0.047
Catamenia_analis,Male,Diglossinae,N,N,0.039111261,6.77e-6,0.152975637,0.079064835,0.047
Catamblyrhynchus_diadema,Female,Catamblyrhynchinae,F,U,0.141275561,1.01188e-4,0.0980063,0.17265436,0.008
Catamblyrhynchus_diadema,Male,Catamblyrhynchinae,F,U,0.143223997,1.26091e-4,0.093891769,0.168786818,0.008
Catamenia_homochroa,Female,Diglossinae,N,N,0.05396548,1.34e-5,0.099915235,0.100333499,0.042
Catamenia_homochroa,Male,Diglossinae,N,N,0.047664862,6.49e-6,0.086154464,0.061808843,0.042
Catamenia_inornata,Female,Diglossinae,N,N,0.04613281,6.71e-6,0.138079177,0.145652137,0.031
Catamenia_inornata,Male,Diglossinae,N,N,0.059038163,1.75e-5,0.127007427,0.126764555,0.031
Certhidea_olivacea,Female,Coerebinae,N,N,0.032756146,2.14e-6,0.192500207,0.128808489,0.019
Certhidea_olivacea,Male,Coerebinae,N,N,0.033112969,3.01e-6,0.18112997,0.124864609,0.019
Charitospiza_eucosma,Female,Charitospizinae,N,N,0.079118509,1.02e-5,0.18427628,0.129541125,0.058
Charitospiza_eucosma,Male,Charitospizinae,N,N,0.114230918,5.66e-5,0.176307782,0.097623586,0.058
Chlorochrysa_calliparaea,Female,Thraupinae,F,C,0.238388718,0.001542109,0.116138477,0.227276979,0.095
Chlorochrysa_calliparaea,Male,Thraupinae,F,C,0.30640275300000003,0.005357619,0.117505852,0.264114997,0.095
Chlorochrysa_nitidissima,Female,Thraupinae,F,C,0.170043315,8.27025e-4,0.079145225,0.173001734,0.123
Chlorochrysa_nitidissima,Male,Thraupinae,F,C,0.26663298,0.005012457,0.095864311,0.190788349,0.123
Chlorochrysa_phoenicotis,Female,Thraupinae,F,C,0.238276099,0.002331053,0.122616116,0.296124445,0.04
Chlorochrysa_phoenicotis,Male,Thraupinae,F,C,0.267222304,0.00332633,0.123820627,0.315268875,0.04
Chlorornis_riefferii,Female,Thraupinae,F,C,0.192130859,0.001644311,0.112153927,0.197705118,0.048
Chlorornis_riefferii,Male,Thraupinae,F,C,0.202832475,0.001971987,0.113430223,0.195979675,0.048
Chlorophanes_spiza,Female,Hemithraupinae,F,C,0.06441086,1.16e-5,0.129323594,0.166171606,0.141
Chlorophanes_spiza,Male,Hemithraupinae,F,C,0.111680212,1.13725e-4,0.079495733,0.148794185,0.141
Chrysothlypis_chrysomelas,Female,Hemithraupinae,F,C,0.048881872,1.34e-5,0.153859339,0.154785238,0.121
Chrysothlypis_chrysomelas,Male,Hemithraupinae,F,C,0.180101936,5.03e-5,0.210806348,0.189113992,0.121
Chrysothlypis_salmoni,Female,Hemithraupinae,F,C,0.063927334,4.01e-5,0.176122209,0.145297504,0.146
Chrysothlypis_salmoni,Male,Hemithraupinae,F,C,0.175678558,1.79542e-4,0.173716839,0.249790633,0.146
Cissopis_leverianus,Female,Thraupinae,F,U/C,0.057995268,5.61e-6,0.252179959,0.051276585,0.013
Cissopis_leverianus,Male,Thraupinae,F,U/C,0.051535344,3.87e-6,0.254305602,0.046849701,0.013
Cnemoscopus_rubrirostris,Female,Poospizinae,F,C,0.111114858,1.48e-5,0.173589537,0.150583099,0.015
Cnemoscopus_rubrirostris,Male,Poospizinae,F,C,0.112648267,1.36e-5,0.169226758,0.139578847,0.015
Coereba_flaveola,Female,Coerebinae,F,C,0.081418246,3.14e-5,0.16490457,0.110730148,0.011
Coereba_flaveola,Male,Coerebinae,F,C,0.082054812,3.3e-5,0.167914604,0.112608376,0.011
Compsospiza_baeri,Female,Poospizinae,N,N,0.100481222,2e-5,0.111179738,0.136757047,0.014
Compsospiza_baeri,Male,Poospizinae,N,N,0.096999725,1.37e-5,0.115333612,0.13426324,0.014
Compsospiza_garleppi,Female,Poospizinae,F,U,0.131120452,5.18e-5,0.106935831,0.174576108,0.014
Compsospiza_garleppi,Male,Poospizinae,F,U,0.125810834,5.04e-5,0.107118602,0.170507455,0.014
Compsothraupis_loricata,Female,Nemosiinae,F,C,0.03614722,6.84e-7,0.051650594,0.018739026,0.07
Compsothraupis_loricata,Male,Nemosiinae,F,C,0.120021694,3.62e-5,0.074268104,0.068104168,0.07
Conirostrum_albifrons,Female,Diglossinae,F,C,0.113370877,1.75716e-4,0.139118632,0.111397316,0.133
Conirostrum_albifrons,Male,Diglossinae,F,C,0.136935202,3e-5,0.074621615,0.0764644,0.133
Conirostrum_bicolor,Female,Diglossinae,F,U/C,0.068214605,7.07e-6,0.252615802,0.085176098,0.016
Conirostrum_bicolor,Male,Diglossinae,F,U/C,0.081921441,8.98e-6,0.239867896,0.089439639,0.016
Conirostrum_cinereum,Female,Diglossinae,N,N,0.058193994,3.92e-6,0.189596041,0.1000003,0.013
Conirostrum_cinereum,Male,Diglossinae,N,N,0.057937629,4.62e-6,0.191768513,0.101477645,0.013
Conirostrum_ferrugineiventre,Female,Diglossinae,F,C,0.126489164,3.23e-5,0.136793256,0.130814464,0.03
Conirostrum_ferrugineiventre,Male,Diglossinae,F,C,0.120611446,3.57e-5,0.137208813,0.153101938,0.03
Conirostrum_leucogenys,Female,Diglossinae,F,C,0.042756459,9.8200000000000008e-06,0.166520793,0.078391128,0.034
Conirostrum_leucogenys,Male,Diglossinae,F,C,0.044590986,5.58e-6,0.184858176,0.051786428,0.034
Conirostrum_margaritae,Female,Diglossinae,F,C,0.031369905,2.11e-6,0.265994403,0.065793825,0.018
Conirostrum_margaritae,Male,Diglossinae,F,C,0.023646645,1.53e-6,0.24116213,0.052058792,0.018
Conirostrum_rufum,Female,Diglossinae,N,N,0.111135046,1.23e-5,0.106019944,0.14909836,0.014
Conirostrum_rufum,Male,Diglossinae,N,N,0.112722093,1.67e-5,0.106713378,0.15156285,0.014
Conirostrum_sitticolor,Female,Diglossinae,F,C,0.165266481,1.31e-5,0.113773845,0.121655971,0.014
Conirostrum_sitticolor,Male,Diglossinae,F,C,0.16286014,1.46e-5,0.113855202,0.116554104,0.014
Conothraupis_speculigera,Female,Tachyphoninae,F,U/C,0.029845846999999998,5.65e-6,0.181491109,0.150681759,0.097
Conothraupis_speculigera,Male,Tachyphoninae,F,U/C,0.04597022,3.25e-6,0.204014196,0.068328799,0.097
Conirostrum_speciosum,Female,Diglossinae,F,C,0.044495251,2.8e-5,0.255547066,0.088501583,0.066
Conirostrum_speciosum,Male,Diglossinae,F,C,0.079552117,9.13e-6,0.208249638,0.074159914,0.066
Conirostrum_tamarugense,Female,Diglossinae,F,U/C,0.067365032,1.29e-5,0.157349985,0.133599397,0.019
Conirostrum_tamarugense,Male,Diglossinae,F,U/C,0.065925047,1.86e-5,0.159790343,0.120140836,0.019
Coryphospingus_cucullatus,Female,Tachyphoninae,N,N,0.023015353,2.53e-6,0.149771794,0.122724475,0.073
Coryphospingus_cucullatus,Male,Tachyphoninae,N,N,0.094693338,3.51e-5,0.116261259,0.14136557,0.073
Coryphaspiza_melanotis,Female,Emberizoidinae,N,N,0.067406209,7.54e-5,0.204682486,0.141958781,0.032
Coryphaspiza_melanotis,Male,Emberizoidinae,N,N,0.073574514,6.23e-5,0.210666209,0.131259964,0.032
Coryphospingus_pileatus,Female,Tachyphoninae,N,N,0.029866398,5.5e-7,0.237651872,0.092269437,0.039
Coryphospingus_pileatus,Male,Tachyphoninae,N,N,0.070960868,3.71e-5,0.240570214,0.09662102,0.039
Creurgops_dentatus,Female,Tachyphoninae,F,C,0.085146403,6.97e-6,0.165538837,0.10306034,0.08
Creurgops_dentatus,Male,Tachyphoninae,F,C,0.061590726,9.12e-6,0.100814289,0.069501119,0.08
Creurgops_verticalis,Female,Tachyphoninae,F,C,0.117144975,5.67e-6,0.13550931,0.151377771,0.045
Creurgops_verticalis,Male,Tachyphoninae,F,C,0.10975441,4.1e-6,0.155599437,0.1510982,0.045
Cyanerpes_caeruleus,Female,Dacninae,F,C,0.088213042,1.68763e-4,0.188145553,0.135526872,0.337
Cyanerpes_caeruleus,Male,Dacninae,F,C,0.154116545,9.1e-5,0.20652863,0.212207381,0.337
Cyanerpes_cyaneus,Female,Dacninae,F,C,0.044117882,4.28e-5,0.179411771,0.122495308,0.211
Cyanerpes_cyaneus,Male,Dacninae,F,C,0.196045149,4.57409e-4,0.232620534,0.129083613,0.211
