entrezgene,entrezgene_hs,hsapiens_homolog_orthology_confidence
807636,4535,1
807645,4536,1
807639,4512,1
807635,4513,1
807647,NA,NA
807646,4508,1
807637,4514,1
807638,4537,1
807644,4539,1
807643,4538,1
807642,4540,1
807641,4519,1
807640,4541,0
419704,219855,1
107049952,NA,NA
770867,57158,1
107049471,NA,NA
769879,570,1
426663,65244,1
419140,NA,1
419140,3692,1
419907,221496,1
100857976,9294,1
395937,7252,1
107051017,10401,0
419856,947,0
419909,84300,1
419857,5362,1
416998,22900,0
107055522,29121,0
107055522,969,1
107055522,387836,0
107055522,9976,0
107057538,NA,NA
107057619,54,1
426247,317749,1
426247,10202,1
426247,10901,1
107056542,NA,NA
422920,64795,1
404777,5883,1
101749042,267020,1
101749042,10632,1
419726,NA,NA
101748212,5630,1
421171,NA,NA
107049036,NA,NA
417293,9022,1
396023,27122,1
419927,705,1
374197,10096,1
419712,55572,1
768550,100527943,1
422683,9871,1
422408,2983,1
422871,152992,1
100858490,NA,NA
100858017,NA,NA
396232,3149,1
100858774,51333,0
419713,6734,1
107049835,5644,0
107049835,5645,0
107049835,5646,0
100858655,3609,1
422484,85462,1
396401,29121,0
396401,969,0
396401,387836,0
396401,9976,0
425783,29121,0
425783,969,0
425783,387836,0
425783,9976,0
772196,10857,1
107049985,113746,0
107049986,113746,0
107049318,7306,1
416398,29855,1
402783,51277,1
374101,642658,1
107055209,85369,1
424486,126969,1
107049807,NA,NA
416776,8318,1
107053618,26103,1
423279,1965,1
422454,8821,1
426274,7096,1
426274,10333,1
426274,81793,1
419149,10226,0
374153,7222,1
420418,9940,1
419730,4798,1
395863,27306,1
421827,57150,1
419776,6327,1
770454,56649,1
423073,10083,1
107055940,NA,NA
416752,NA,NA
396090,1509,1
396090,NA,1
421937,4953,1
107050032,NA,NA
395437,653275,0
395437,55997,0
421269,54465,1
101749614,60494,0
422336,154796,1
428898,8846,1
770386,152559,1
396484,4487,1
107056837,23199,0
107049850,NA,NA
419780,56912,0
423023,55048,1
420419,NA,NA
422719,8470,1
417160,6838,1
427437,6502,1
422822,64151,1
770514,388761,0
770514,284532,1
770514,343170,0
770514,127066,1
770514,442191,0
419222,1002,1
770326,11199,1
419143,83658,0
107054816,83658,0
420665,152189,1
101747800,NA,NA
421315,375057,1
107050147,5164,1
423463,3320,1
422539,27068,1
