entrezgene,FDRPval_m1m2,FDRPval_m2m2a,FDRPval_m7m8,FDRPval_m8m8a,FDRPval_busted,Prop_m2,Omega_m2,Omega_m0,prop_sel_branches,length,nseq
NA,1,1,2.99306206810608e-8,0.406671336790735,0.9529649590963509,0.096,1,0.3772,0.04477611940298507,927,35
NA,1,1,2.26664943660386e-6,0.0553489083572654,0.8385351099558381,0.008,2.51902,0.15725,0.1794871794871795,846,21
422616,1,1,3.42910231814299e-5,0.236379259011783,1,0.01,1,0.02284,0.1728395061728395,2514,42
422026,1,1,0,0,0,0.234,1,0.45094,NaN,14859,41
100857939,0.153691959771836,0.0415218666902907,4.26649461043325e-8,3.17739519842107e-4,0.04046839420923527,0.03,2.49956,0.26614,0.043478260869565216,513,36
426168,0,0,0,0,0,0.191,2.61204,0.86717,0.2345679012345679,489,42
NA,1,1,0.00201056867618538,0.283670496623131,0.007027567445907423,0,28.19191,0.08137,0.3684210526315789,1179,30
374177,1,1,1,0.795513513887446,0.06391530018931545,0.015,1,0.09252,0.12345679012345678,444,42
427538,0,0,0,0,0,0.038,2.27351,0.43006,0.6338028169014085,7866,37
100858288,1,1,1.02832653749569e-5,4.22337236260832e-5,1,0.133,1,0.22631,0.05063291139240506,894,41
100859120,1,1,0.0246192951618691,1,0,0.03,1,0.31971,0.38271604938271603,1155,42
419240,1,1,1,0.607138156205465,0.0032206796321867757,0,1.92275,0.03042,0.030303030303030304,210,51
427584,0.155920378653556,0.0422013169450121,0,8.88365682275153e-4,0,0.001,4.07365,0.13062000000000001,0.47368421052631576,4158,30
416696,1,1,1,1,0,0.024,1,0.10604,0.12121212121212122,1182,51
396470,1,1,3.81277193206495e-4,0.520612038934352,1,0.027,1,0.03805,0.02912621359223301,396,53
418148,1,1,0.828622620934708,1,0,0,10.50874,0.02597,0.16842105263157894,3639,49
421838,1,1,0.447135118603231,0.747468688133575,0.8578613064327644,0.056,1,0.20365,0.058823529411764705,168,44
422506,1,1,0,8.36802849235596e-14,0,0,150.56775,0.18937,0.38666666666666666,11328,39
